run,modelname,treatname,angle,spd,from,to,variable,cov
20120608081307,nothing,no,0,210,U,U,C_11,0.000731844153986
20120608081307,nothing,no,0,210,U,V,C_12,0.000304824178125
20120608081307,nothing,no,0,210,U,W,C_13,0.000165489955134
20120608081307,nothing,no,0,210,V,V,C_22,0.0198926338713
20120608081307,nothing,no,0,210,V,W,C_23,-0.000183985840065
20120608081307,nothing,no,0,210,W,W,C_33,0.000699000594747
20120608081307,nothing,no,0,80,U,U,C_11,0.000344717304012
20120608081307,nothing,no,0,80,U,V,C_12,0.00023836980232
20120608081307,nothing,no,0,80,U,W,C_13,4.8377603209e-05
20120608081307,nothing,no,0,80,V,V,C_22,0.0117074124853
20120608081307,nothing,no,0,80,V,W,C_23,0.000524180941307
20120608081307,nothing,no,0,80,W,W,C_33,0.000431304291919
20120608081307,nothing,no,0,0,U,U,C_11,9.76407466731e-05
20120608081307,nothing,no,0,0,U,V,C_12,-0.000146348711572
20120608081307,nothing,no,0,0,U,W,C_13,9.74159297971e-05
20120608081307,nothing,no,0,0,V,V,C_22,0.000219432579696
20120608081307,nothing,no,0,0,V,W,C_23,-0.000146167736248
20120608081307,nothing,no,0,0,W,W,C_33,9.75036129022e-05
20120608081307,nothing,no,0,120,U,U,C_11,0.000328774503456
20120608081307,nothing,no,0,120,U,V,C_12,9.24855856345e-05
20120608081307,nothing,no,0,120,U,W,C_13,-9.35023459664e-05
20120608081307,nothing,no,0,120,V,V,C_22,0.0163304535342
20120608081307,nothing,no,0,120,V,W,C_23,-0.00027236225571
20120608081307,nothing,no,0,120,W,W,C_33,0.000359934393882
20120608081307,nothing,no,0,240,U,U,C_11,0.000390622259724
20120608081307,nothing,no,0,240,U,V,C_12,0.000225997306752
20120608081307,nothing,no,0,240,U,W,C_13,2.36387339382e-05
20120608081307,nothing,no,0,240,V,V,C_22,0.020752150544
20120608081307,nothing,no,0,240,V,W,C_23,-7.93300431933e-05
20120608081307,nothing,no,0,240,W,W,C_33,0.000249028450035
20120608081307,nothing,no,0,60,U,U,C_11,0.000178641817772
20120608081307,nothing,no,0,60,U,V,C_12,-0.000145211861936
20120608081307,nothing,no,0,60,U,W,C_13,-5.29780018421e-05
20120608081307,nothing,no,0,60,V,V,C_22,0.00710256034305
20120608081307,nothing,no,0,60,V,W,C_23,2.25464155626e-05
20120608081307,nothing,no,0,60,W,W,C_33,0.000177266016898
20120608081307,nothing,no,0,180,U,U,C_11,0.000146860817576
20120608081307,nothing,no,0,180,U,V,C_12,4.52800759896e-05
20120608081307,nothing,no,0,180,U,W,C_13,1.81507736867e-05
20120608081307,nothing,no,0,180,V,V,C_22,0.020561911359
