run,modelname,treatname,angle,spd,from,to,kcenterfreq,value
20120521085558,pong1,med,0,200,U,U,0.015625,0.00054969962149
20120521085558,pong1,med,0,200,U,U,0.03125,0.00177497913639
20120521085558,pong1,med,0,200,U,U,0.0625,0.00381317045286
20120521085558,pong1,med,0,200,U,U,0.125,0.00613014175615
20120521085558,pong1,med,0,200,U,U,0.25,0.0147681353875
20120521085558,pong1,med,0,200,U,U,0.5,0.0238024778516
20120521085558,pong1,med,0,200,U,U,1.0,0.0475183097963
20120521085558,pong1,med,0,200,U,U,2.0,0.0692973139355
20120521085558,pong1,med,0,200,U,U,4.0,nan
20120521085558,pong1,med,0,200,U,U,8.0,nan
20120521085558,pong1,med,0,200,U,U,16.0,nan
20120521085558,pong1,med,0,200,U,U,32.0,nan
20120521085558,pong1,med,0,200,U,U,64.0,nan
20120521085558,pong1,med,0,200,U,U,128.0,nan
20120521085558,pong1,med,0,200,V,V,0.015625,0.00203848169243
20120521085558,pong1,med,0,200,V,V,0.03125,0.00164913000494
20120521085558,pong1,med,0,200,V,V,0.0625,0.0028453722134
20120521085558,pong1,med,0,200,V,V,0.125,0.00334768215551
20120521085558,pong1,med,0,200,V,V,0.25,0.00829734141167
20120521085558,pong1,med,0,200,V,V,0.5,0.0170272948147
20120521085558,pong1,med,0,200,V,V,1.0,0.0382263458218
20120521085558,pong1,med,0,200,V,V,2.0,0.0470415870921
20120521085558,pong1,med,0,200,V,V,4.0,nan
20120521085558,pong1,med,0,200,V,V,8.0,nan
20120521085558,pong1,med,0,200,V,V,16.0,nan
20120521085558,pong1,med,0,200,V,V,32.0,nan
20120521085558,pong1,med,0,200,V,V,64.0,nan
20120521085558,pong1,med,0,200,V,V,128.0,nan
20120521085558,pong1,med,0,200,W,W,0.015625,0.000291173057117
20120521085558,pong1,med,0,200,W,W,0.03125,0.00080329433309
20120521085558,pong1,med,0,200,W,W,0.0625,0.00113004276678
20120521085558,pong1,med,0,200,W,W,0.125,0.00212919241018
20120521085558,pong1,med,0,200,W,W,0.25,0.00410767126806
20120521085558,pong1,med,0,200,W,W,0.5,0.00795141509067
20120521085558,pong1,med,0,200,W,W,1.0,0.0154015696442
20120521085558,pong1,med,0,200,W,W,2.0,0.019349517514
20120521085558,pong1,med,0,200,W,W,4.0,nan
20120521085558,pong1,med,0,200,W,W,8.0,nan
20120521085558,pong1,med,0,200,W,W,16.0,nan
20120521085558,pong1,med,0,200,W,W,32.0,nan
20120521085558,pong1,med,0,200,W,W,64.0,nan
20120521085558,pong1,med,0,200,W,W,128.0,nan
20120521085558,pong1,med,0,0,U,U,0.015625,5.58934680673e-06
20120521085558,pong1,med,0,0,U,U,0.03125,1.12244175574e-05
20120521085558,pong1,med,0,0,U,U,0.0625,2.3250237696e-05
20120521085558,pong1,med,0,0,U,U,0.125,5.07207629576e-05
20120521085558,pong1,med,0,0,U,U,0.25,0.000119604000598
20120521085558,pong1,med,0,0,U,U,0.5,0.000209373603113
