run,modelname,treatname,angle,spd,lscale
20120609090806,nothing,no,0,180,253.245469778
20120609090806,nothing,no,0,80,354.287705804
20120609090806,nothing,no,0,40,264.734640578
20120609090806,nothing,no,0,100,885.047794543
20120609090806,nothing,no,0,10,28.0003448002
20120609090806,nothing,no,0,140,616.614340501
20120609090806,nothing,no,0,20,138.874953859
20120609090806,nothing,no,0,120,861.140473135
20120609090806,nothing,no,0,240,216.177833539
20120609090806,nothing,no,0,0,11.9067818131
20120609090806,nothing,no,0,90,728.647007762
20120609090806,nothing,no,0,230,138.59850619
20120609090806,nothing,no,0,110,1190.38084891
20120609090806,nothing,no,0,30,514.240951108
20120609090806,nothing,no,0,210,35.6171753353
20120609090806,nothing,no,0,70,125.499182778
20120609090806,nothing,no,0,190,552.946295398
20120609090806,nothing,no,0,170,139.22149444
20120609090806,nothing,no,0,220,74.6295771858
20120609090806,nothing,no,0,50,916.739075095
20120609090806,nothing,no,0,160,141.728057416
20120609090806,nothing,no,0,150,259.719999977
20120609090806,nothing,no,0,130,1059.66343052
20120609090806,nothing,no,0,250,202.735583938
20120609090806,nothing,no,0,60,446.772977006
20120609090806,nothing,no,0,200,537.056065828
20120608081307,nothing,no,0,180,590.172758501
20120608081307,nothing,no,0,80,37.8465333233
20120608081307,nothing,no,0,40,459.547818033
20120608081307,nothing,no,0,100,1055.76756396
20120608081307,nothing,no,0,10,67.8830953691
20120608081307,nothing,no,0,140,692.422312652
20120608081307,nothing,no,0,20,286.267137578
20120608081307,nothing,no,0,120,424.667785735
20120608081307,nothing,no,0,240,78.0944067117
20120608081307,nothing,no,0,0,9.34105784026
20120608081307,nothing,no,0,90,172.630652234
20120608081307,nothing,no,0,230,231.924521842
20120608081307,nothing,no,0,110,1116.17353554
20120608081307,nothing,no,0,30,582.311610974
20120608081307,nothing,no,0,210,2268.85971462
20120608081307,nothing,no,0,70,227.90881141
20120608081307,nothing,no,0,190,667.378501184
20120608081307,nothing,no,0,170,424.131037462
20120608081307,nothing,no,0,220,1300.44183419
20120608081307,nothing,no,0,50,993.686408701
20120608081307,nothing,no,0,160,970.431183684
20120608081307,nothing,no,0,150,747.264077557
20120608081307,nothing,no,0,130,109.057982183
20120608081307,nothing,no,0,250,119.227422053
20120608081307,nothing,no,0,60,661.33050837
20120608081307,nothing,no,0,200,1223.75033878
20120608135349,nothing,lrg,0,60,1.49843911426
20120608135349,nothing,lrg,0,240,4.65402252381
