run,modelname,treatname,angle,spd,from,to,centerfreq,value
20120608081307,nothing,no,0,210,U,U,0.015625,2.30129325355e-06
20120608081307,nothing,no,0,210,U,U,0.03125,6.08453526783e-06
20120608081307,nothing,no,0,210,U,U,0.0625,1.68120769444e-05
20120608081307,nothing,no,0,210,U,U,0.125,2.68152378181e-05
20120608081307,nothing,no,0,210,U,U,0.25,1.55207686816e-05
20120608081307,nothing,no,0,210,U,U,0.5,1.53400728754e-05
20120608081307,nothing,no,0,210,U,U,1.0,2.41493574286e-05
20120608081307,nothing,no,0,210,U,U,2.0,4.27865625754e-05
20120608081307,nothing,no,0,210,U,U,4.0,6.63586889245e-05
20120608081307,nothing,no,0,210,U,U,8.0,9.1734578741e-05
20120608081307,nothing,no,0,210,U,U,16.0,7.37323834864e-05
20120608081307,nothing,no,0,210,U,U,32.0,1.904883032e-05
20120608081307,nothing,no,0,210,U,U,64.0,1.40406930012e-05
20120608081307,nothing,no,0,210,U,U,128.0,7.50405513828e-06
20120608081307,nothing,no,0,210,V,V,0.015625,8.61213602751e-05
20120608081307,nothing,no,0,210,V,V,0.03125,0.000224740178399
20120608081307,nothing,no,0,210,V,V,0.0625,0.00060581725692
20120608081307,nothing,no,0,210,V,V,0.125,0.000802617994182
20120608081307,nothing,no,0,210,V,V,0.25,0.000601790289311
20120608081307,nothing,no,0,210,V,V,0.5,0.000374557223443
20120608081307,nothing,no,0,210,V,V,1.0,0.000209422368673
20120608081307,nothing,no,0,210,V,V,2.0,0.000133785719583
20120608081307,nothing,no,0,210,V,V,4.0,0.000103503560756
20120608081307,nothing,no,0,210,V,V,8.0,0.000105596931607
20120608081307,nothing,no,0,210,V,V,16.0,8.52198460094e-05
20120608081307,nothing,no,0,210,V,V,32.0,2.36945809728e-05
20120608081307,nothing,no,0,210,V,V,64.0,1.77662258129e-05
20120608081307,nothing,no,0,210,V,V,128.0,9.53290921123e-06
20120608081307,nothing,no,0,210,W,W,0.015625,1.61545679831e-06
20120608081307,nothing,no,0,210,W,W,0.03125,4.42342952052e-06
20120608081307,nothing,no,0,210,W,W,0.0625,1.27875555219e-05
20120608081307,nothing,no,0,210,W,W,0.125,2.54760153074e-05
20120608081307,nothing,no,0,210,W,W,0.25,2.54391346836e-05
20120608081307,nothing,no,0,210,W,W,0.5,3.47180489363e-05
20120608081307,nothing,no,0,210,W,W,1.0,5.4279921523e-05
20120608081307,nothing,no,0,210,W,W,2.0,8.23124317111e-05
20120608081307,nothing,no,0,210,W,W,4.0,7.48297148594e-05
20120608081307,nothing,no,0,210,W,W,8.0,7.93306223649e-05
20120608081307,nothing,no,0,210,W,W,16.0,8.07831925187e-05
20120608081307,nothing,no,0,210,W,W,32.0,1.95308044522e-05
20120608081307,nothing,no,0,210,W,W,64.0,1.51328776695e-05
20120608081307,nothing,no,0,210,W,W,128.0,6.59322436945e-06
20120608081307,nothing,no,0,80,U,U,0.015625,8.95217891999e-07
20120608081307,nothing,no,0,80,U,U,0.03125,2.52598480482e-06
20120608081307,nothing,no,0,80,U,U,0.0625,8.63466126612e-06
20120608081307,nothing,no,0,80,U,U,0.125,4.40992465749e-05
20120608081307,nothing,no,0,80,U,U,0.25,5.10869975e-05
20120608081307,nothing,no,0,80,U,U,0.5,2.27765856523e-05
20120608081307,nothing,no,0,80,U,U,1.0,2.07954225362e-05
20120608081307,nothing,no,0,80,U,U,2.0,2.45522750689e-05
20120608081307,nothing,no,0,80,U,U,4.0,3.7194864864e-05
20120608081307,nothing,no,0,80,U,U,8.0,3.79887259026e-05
