run,modelname,treatname,angle,spd,from,to,kcenterfreq,value
20120609090806,nothing,no,0,180,U,U,0.015625,3.78715761074e-06
20120609090806,nothing,no,0,180,U,U,0.03125,4.25410581323e-06
20120609090806,nothing,no,0,180,U,U,0.0625,5.87301403521e-06
20120609090806,nothing,no,0,180,U,U,0.125,5.76101116627e-06
20120609090806,nothing,no,0,180,U,U,0.25,1.03836672089e-05
20120609090806,nothing,no,0,180,U,U,0.5,1.79792605372e-05
20120609090806,nothing,no,0,180,U,U,1.0,2.74987453172e-05
20120609090806,nothing,no,0,180,U,U,2.0,4.74660060224e-05
20120609090806,nothing,no,0,180,U,U,4.0,nan
20120609090806,nothing,no,0,180,U,U,8.0,nan
20120609090806,nothing,no,0,180,U,U,16.0,nan
20120609090806,nothing,no,0,180,U,U,32.0,nan
20120609090806,nothing,no,0,180,U,U,64.0,nan
20120609090806,nothing,no,0,180,U,U,128.0,nan
20120609090806,nothing,no,0,180,V,V,0.015625,0.00074398226027
20120609090806,nothing,no,0,180,V,V,0.03125,0.000442015414594
20120609090806,nothing,no,0,180,V,V,0.0625,0.000285902564668
20120609090806,nothing,no,0,180,V,V,0.125,0.000179013417795
20120609090806,nothing,no,0,180,V,V,0.25,0.000106220969938
20120609090806,nothing,no,0,180,V,V,0.5,8.26906526623e-05
20120609090806,nothing,no,0,180,V,V,1.0,7.81505333913e-05
20120609090806,nothing,no,0,180,V,V,2.0,0.000105011736081
20120609090806,nothing,no,0,180,V,V,4.0,nan
20120609090806,nothing,no,0,180,V,V,8.0,nan
20120609090806,nothing,no,0,180,V,V,16.0,nan
20120609090806,nothing,no,0,180,V,V,32.0,nan
20120609090806,nothing,no,0,180,V,V,64.0,nan
20120609090806,nothing,no,0,180,V,V,128.0,nan
20120609090806,nothing,no,0,180,W,W,0.015625,2.58795114273e-05
20120609090806,nothing,no,0,180,W,W,0.03125,2.22699453157e-05
20120609090806,nothing,no,0,180,W,W,0.0625,2.53753984983e-05
20120609090806,nothing,no,0,180,W,W,0.125,2.79786428837e-05
20120609090806,nothing,no,0,180,W,W,0.25,3.85960442018e-05
20120609090806,nothing,no,0,180,W,W,0.5,4.09648038586e-05
20120609090806,nothing,no,0,180,W,W,1.0,4.71029478471e-05
20120609090806,nothing,no,0,180,W,W,2.0,6.73724073292e-05
20120609090806,nothing,no,0,180,W,W,4.0,nan
20120609090806,nothing,no,0,180,W,W,8.0,nan
20120609090806,nothing,no,0,180,W,W,16.0,nan
20120609090806,nothing,no,0,180,W,W,32.0,nan
