run,modelname,treatname,angle,spd,channel,variable,mean
20120516181952,rect290,lrg,0,250,FX,mu_1,-0.00022119738728
20120516181952,rect290,lrg,0,250,FY,mu_2,0.000303060737654
20120516181952,rect290,lrg,0,250,FZ,mu_3,0.00951928971684
20120516181952,rect290,lrg,0,250,TX,mu_4,-0.0189397034295
20120516181952,rect290,lrg,0,250,TY,mu_5,-0.111194750249
20120516181952,rect290,lrg,0,250,TZ,mu_6,0.000739502458915
20120516181952,rect290,lrg,0,100,FX,mu_1,-0.000773392659006
20120516181952,rect290,lrg,0,100,FY,mu_2,-0.00104816108787
20120516181952,rect290,lrg,0,100,FZ,mu_3,0.00597530601458
20120516181952,rect290,lrg,0,100,TX,mu_4,-0.0147210588463
20120516181952,rect290,lrg,0,100,TY,mu_5,-0.0134788286476
20120516181952,rect290,lrg,0,100,TZ,mu_6,-0.00235006497634
20120516181952,rect290,lrg,0,200,FX,mu_1,-6.5453518249e-05
20120516181952,rect290,lrg,0,200,FY,mu_2,0.000244536338647
20120516181952,rect290,lrg,0,200,FZ,mu_3,0.00794519674843
20120516181952,rect290,lrg,0,200,TX,mu_4,-0.0153039290549
20120516181952,rect290,lrg,0,200,TY,mu_5,-0.0567561572171
20120516181952,rect290,lrg,0,200,TZ,mu_6,-0.0131354825339
20120516181952,rect290,lrg,0,150,FX,mu_1,-0.00055970097928
20120516181952,rect290,lrg,0,150,FY,mu_2,-0.000491207361148
20120516181952,rect290,lrg,0,150,FZ,mu_3,0.00949009034701
20120516181952,rect290,lrg,0,150,TX,mu_4,-0.0125410528977
20120516181952,rect290,lrg,0,150,TY,mu_5,-0.0265177840795
20120516181952,rect290,lrg,0,150,TZ,mu_6,-0.0169654527567
20120516181952,rect290,lrg,0,0,FX,mu_1,0.00148602282737
20120516181952,rect290,lrg,0,0,FY,mu_2,0.000869884659028
20120516181952,rect290,lrg,0,0,FZ,mu_3,-0.00271862562247
20120516181952,rect290,lrg,0,0,TX,mu_4,0.0105613784717
20120516181952,rect290,lrg,0,0,TY,mu_5,-0.00704521593355
