run,modelname,treatname,angle,spd,from,to,variable,cov
20120521164435,noisefloor,no,0,0,FX,FX,C_11,3.55932061477e-06
20120521164435,noisefloor,no,0,0,FX,FY,C_12,1.94091703317e-06
20120521164435,noisefloor,no,0,0,FX,FZ,C_13,-4.66564679139e-06
20120521164435,noisefloor,no,0,0,FX,TX,C_14,1.19176630876e-05
20120521164435,noisefloor,no,0,0,FX,TY,C_15,-2.35563567127e-05
20120521164435,noisefloor,no,0,0,FX,TZ,C_16,6.39508763417e-06
20120521164435,noisefloor,no,0,0,FY,FY,C_22,5.03220998347e-06
20120521164435,noisefloor,no,0,0,FY,FZ,C_23,-1.02474633199e-05
20120521164435,noisefloor,no,0,0,FY,TX,C_24,4.17312170688e-05
20120521164435,noisefloor,no,0,0,FY,TY,C_25,-9.84420653812e-06
20120521164435,noisefloor,no,0,0,FY,TZ,C_26,1.08847439647e-05
20120521164435,noisefloor,no,0,0,FZ,FZ,C_33,5.05706111992e-05
20120521164435,noisefloor,no,0,0,FZ,TX,C_34,-0.00010151631209
20120521164435,noisefloor,no,0,0,FZ,TY,C_35,1.49701926708e-05
20120521164435,noisefloor,no,0,0,FZ,TZ,C_36,-5.65698251638e-05
20120521164435,noisefloor,no,0,0,TX,TX,C_44,0.00046596338524
20120521164435,noisefloor,no,0,0,TX,TY,C_45,-5.3933294424e-06
20120521164435,noisefloor,no,0,0,TX,TZ,C_46,9.6202955244e-05
20120521164435,noisefloor,no,0,0,TY,TY,C_55,0.00024526598363
20120521164435,noisefloor,no,0,0,TY,TZ,C_56,-2.99082592226e-05
20120521164435,noisefloor,no,0,0,TZ,TZ,C_66,0.000194846279685
