run,modelname,treatname,angle,spd,from,to,centerfreq,value
20120521164435,noisefloor,no,0,0,FX,FX,0.015625,2.05375315288e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.03125,5.43080582431e-11
20120521164435,noisefloor,no,0,0,FX,FX,0.0625,1.54137650962e-10
20120521164435,noisefloor,no,0,0,FX,FX,0.125,3.11892181042e-10
20120521164435,noisefloor,no,0,0,FX,FX,0.25,3.25640898919e-10
20120521164435,noisefloor,no,0,0,FX,FX,0.5,3.39215678146e-10
20120521164435,noisefloor,no,0,0,FX,FX,1.0,4.87718483245e-10
20120521164435,noisefloor,no,0,0,FX,FX,2.0,7.88210652312e-10
20120521164435,noisefloor,no,0,0,FX,FX,4.0,1.56000528933e-09
20120521164435,noisefloor,no,0,0,FX,FX,8.0,3.11365513996e-09
20120521164435,noisefloor,no,0,0,FX,FX,16.0,6.40063861649e-09
20120521164435,noisefloor,no,0,0,FX,FX,32.0,1.37094974779e-08
20120521164435,noisefloor,no,0,0,FX,FX,64.0,4.26072858886e-08
20120521164435,noisefloor,no,0,0,FX,FX,128.0,2.21321774818e-07
20120521164435,noisefloor,no,0,0,FY,FY,0.015625,2.19629812753e-11
20120521164435,noisefloor,no,0,0,FY,FY,0.03125,5.74812186469e-11
20120521164435,noisefloor,no,0,0,FY,FY,0.0625,1.61013534872e-10
20120521164435,noisefloor,no,0,0,FY,FY,0.125,3.05226774267e-10
20120521164435,noisefloor,no,0,0,FY,FY,0.25,3.09698237766e-10
20120521164435,noisefloor,no,0,0,FY,FY,0.5,3.60203154697e-10
20120521164435,noisefloor,no,0,0,FY,FY,1.0,4.88600534403e-10
20120521164435,noisefloor,no,0,0,FY,FY,2.0,9.3817476882e-10
20120521164435,noisefloor,no,0,0,FY,FY,4.0,2.01162691558e-09
20120521164435,noisefloor,no,0,0,FY,FY,8.0,3.43935756147e-09
20120521164435,noisefloor,no,0,0,FY,FY,16.0,5.23236073279e-09
20120521164435,noisefloor,no,0,0,FY,FY,32.0,1.35430991698e-08
20120521164435,noisefloor,no,0,0,FY,FY,64.0,3.80538452971e-08
20120521164435,noisefloor,no,0,0,FY,FY,128.0,3.11491208129e-07
20120521164435,noisefloor,no,0,0,FZ,FZ,0.015625,2.91878455467e-08
